Instrument,Entry time,Exit time,Quantity,Entry price,Exit price,Market pos.,Profit,Commission,Execution,Trade #
ES 12-24,12/1/2024 9:30:00,12/1/2024 10:15:00,2,4500.25,4505.75,Long,1100.00,4.80,Market,1
NQ 12-24,12/1/2024 10:30:00,12/1/2024 11:00:00,1,15300.50,15280.25,Long,-2025.00,4.80,Limit,2
ES 12-24,12/2/2024 9:45:00,12/2/2024 10:30:00,2,4498.00,4503.50,Long,1100.00,4.80,Market,3
NQ 12-24,12/2/2024 13:00:00,12/2/2024 14:30:00,1,15250.00,15295.50,Long,4550.00,4.80,Stop,4
ES 12-24,12/3/2024 9:30:00,12/3/2024 9:45:00,2,4510.50,4508.25,Short,450.00,4.80,Market,5
YM 12-24,12/3/2024 11:00:00,12/3/2024 12:00:00,1,35500.00,35450.00,Short,500.00,4.80,Limit,6
ES 12-24,12/4/2024 10:00:00,12/4/2024 11:30:00,2,4515.00,4518.75,Long,750.00,4.80,Market,7
NQ 12-24,12/4/2024 14:00:00,12/4/2024 15:00:00,1,15310.00,15290.50,Short,1950.00,4.80,Market,8
ES 12-24,12/5/2024 9:30:00,12/5/2024 10:00:00,2,4520.00,4516.50,Long,-700.00,4.80,Stop,9
NQ 12-24,12/5/2024 13:30:00,12/5/2024 14:45:00,1,15320.00,15345.25,Long,2525.00,4.80,Limit,10
